slug,model,maker,country,category,availability,price_usd_min,price_usd_max,as_of,release_year,height_cm,weight_kg,dof,battery_hours,payload_kg,reach_mm,speed_ms,repeatability_mm,power_w,ip_rating,sdk,price_note
weave-isaac-1,Isaac 1,Weave Robotics,USA,humanoid,preorder,7999,,2026-09,2026,175,,,8,,,,,,,"Closed consumer platform; teleoperation-assisted autonomy, no public SDK","Launch pricing: $7,999 outright or $449/month subscription; deliveries promised for fall 2026. Wheeled base with a height-adjustable torso (91–175 cm) rather than legs, which is how it undercuts bipedal home humanoids on price."
unitree-h2,H2,Unitree Robotics,China,humanoid,for-sale,29900,100000,2026-09,2025,180,70,31,3,7,,,,,,"Unitree SDK2 (C++/Python), ROS 2 support; NVIDIA Jetson AGX Thor option on EDU","The base H2 lists at $29,900 on the manufacturer's international store (out of stock as of mid-2026), while US resellers list it from $40,900 and the EDU edition from $68,900. The upper bound reflects the H2 Plus variant, reported at roughly $100,000 in press coverage."
apptronik-apollo,Apollo,Apptronik,USA,humanoid,enterprise-only,,,2026-09,2023,173,73,,4,25,,,,,,"Closed platform; enterprise integrations (NVIDIA GR00T partner), no public SDK","Apptronik has never published a price and Apollo cannot be purchased today; it is deployed only through enterprise pilot agreements (Mercedes-Benz, GXO, Jabil) arranged on a quote basis. The widely circulated $50,000 figure is a long-term at-scale cost target stated by the CEO in 2023, not a sale price."
xpeng-iron,Iron,XPENG Robotics,China,humanoid,not-for-sale,,150000,2026-09,2026,178,70,62,,,,,,,,"Closed; proprietary Turing AI chips (2,250 TOPS), no public SDK","No official price exists; XPENG's CEO has only said Iron could eventually cost 'similar to car prices'. Press reports circulate an estimate of around $150,000, which is a press estimate, not an offer. Mass production began in 2026 with first commercial deployments targeted for 2027; there are no public orders open."
dobot-atom,Atom,Dobot Robotics,China,humanoid,preorder,27500,27530,2026-09,2025,153,62,28,,,,1.5,,,,"Dobot ROM-1 robot operator model, programming interface included; 1500 TOPS edge compute","Launched at 199,000 yuan (about $27,500) in China with pre-orders open since early 2025; a US reseller lists it at $27,530, closely matching the manufacturer's price. Positioned as one of the cheapest full-size dexterous humanoids on the market."
ufactory-xarm-6,xArm 6,UFACTORY,China,industrial-arm,for-sale,8849,10499,2026-09,2019,,12.2,6,,5,700,,0.1,200,,"Python/C++ SDK, ROS/ROS 2, UFACTORY Studio GUI","The manufacturer's US store lists the xArm 6 at $9,500 (down from $11,000), while authorized US resellers range from $8,849 up to $10,499; all are live offer prices. The wider xArm line spans the xArm 5 at $5,799, the Lite 6 at $3,349, and the xArm 7 at $10,499 on the manufacturer's store. Bundle options with grippers and camera kits cost more."
elephant-mycobot-280,myCobot 280,Elephant Robotics,China,industrial-arm,for-sale,599,849,2026-09,2020,,0.85,6,,0.25,280,,0.5,60,,"Python, C++, C#, JS, ROS, myBlockly/myStudio; open-source GitHub ecosystem","The manufacturer's store lists the 280 line from $599 (Arduino) through $649 (M5Stack) and $799 (Raspberry Pi) to $849 (Jetson Nano); all are live offer prices. European distributor listings run higher, around EUR 735-905 depending on variant. A desktop-class educational cobot rather than an industrial workhorse: 250 g payload, 280 mm working radius."
abb-gofa-crb-15000,GoFa CRB 15000,ABB Robotics,Switzerland,industrial-arm,for-sale,30000,38000,2026-09,2021,,27,6,,5,950,,0.02,202,IP54,"ABB RobotStudio, Wizard Easy Programming, RAPID","ABB sells through distributors on a quote basis with no public list price; the $30,000-38,000 range is an estimate drawn from distributor listings and industry cost guides for the base GoFa 5 configuration with controller. The family also includes GoFa 10 and GoFa 12 variants at higher price points, with GoFa 12 estimated around $50,000. Treat the range as indicative, not an offer."
yaskawa-hc10dtp,Motoman HC10DTP,Yaskawa,Japan,industrial-arm,for-sale,25000,50000,2026-09,2019,,58,6,,10,1379,,0.05,,IP67,"Smart Pendant / hand-guided teaching, MotoPlus SDK, ROS driver","Yaskawa publishes no list price and sells via integrators and distributors on quotation; industry pricing guides and distributor listings place HC-series cobots in a $25,000-50,000+ band depending on controller and options, with the HC10DTP typically toward the middle of that range. This is an estimate, not an offer. IP67-rated and hand-guided teachable, aimed at damp or splash-prone industrial environments."
anybotics-anymal,ANYmal (D / X),ANYbotics,Switzerland,quadruped,enterprise-only,150000,200000,2026-09,2021,89,50,12,1.5,10,,1.3,,,IP67,"ANYmal API and workforce/inspection software suite; enterprise integration, no consumer SDK","ANYbotics does not publish a retail price; ANYmal is sold as a configured enterprise deployment (robot, docking, software, onboarding, support). Press reports and industry estimates place a unit at roughly $150,000-200,000, with the Ex-proof ANYmal X at the top of that range and total cost of ownership substantially higher. Treat all figures as estimates, not offers."
ghost-robotics-vision-60,Vision 60,Ghost Robotics,USA,quadruped,not-for-sale,150000,165000,2026-09,2020,68.5,51,12,3,10,,2.5,,,IP67,"C/C++, ROS/ROS 2, MAVLink-compatible APIs, ATAK integration; physics-based simulator","Vision 60 is sold to government, defense and select enterprise customers only and is not available for civilian retail purchase. Press reports and procurement records put the typical per-unit price at roughly $150,000-165,000 in US deals; fully configured tactical units with custom sensor suites and encrypted communications are documented estimates running to $250,000 or more. All figures come from procurement disclosures and documented estimates, not a public price list."
pudu-bellabot,BellaBot,Pudu Robotics,China,service,for-sale,13000,16000,2026-09,2020,129,55,,13,40,,1.2,,,,Closed,"US resellers list BellaBot at around $15,900, with the upgraded BellaBot Pro at about $16,000; street-price estimates for base configurations start near $13,000. RaaS leases run from roughly $335/month on 36-month terms through US integrators. Final pricing is quote-based and varies with tray configuration and support package."
pudu-cc1,CC1,Pudu Robotics,China,service,for-sale,24000,31250,2026-09,2022,70,75,,5,15,,1.2,,,,Closed,"US reseller listings put the CC1 Pro at $24,000 and the CC1 Standard Edition at $31,250, with RaaS plans from about $479-917/month depending on edition and term. Manufacturer pricing is quote-based per configuration; installation, mapping and a 1-year warranty are typically bundled. Distributor prices outside the US start lower, around $14,000-15,000."
keenon-dinerbot-t10,DINERBOT T10,Keenon Robotics,China,service,for-sale,13500,23000,2026-09,2023,140,58,,12,40,,1,,,,Closed,"US reseller pricing starts at $13,500 with RaaS from about $542/month, while other US and EU distributor listings range from roughly $17,900 to $23,000 (about EUR 15,000 ex-VAT in Europe). The spread reflects regional distribution, screen configuration and bundled service. The manufacturer sells through channel partners with quote-based pricing."
keenon-butlerbot-w3,BUTLERBOT W3,Keenon Robotics,China,service,for-sale,19000,29600,2026-09,2022,108,48,,12,20,,0.8,,,,Closed,"US distributor listings for the BUTLERBOT W3 range from about $19,000-19,600 up to $29,600 depending on reseller and bundled elevator/door integration. Rental programs start around $575-650/month with short minimum terms. The W3 is Keenon's hotel-focused unit with four sealed compartments and multi-floor elevator access, which drives integration costs above list price."
bear-robotics-servi-plus,Servi Plus,Bear Robotics,USA,service,for-sale,13990,13990,2026-09,2023,122,62,,12,40,,1.2,,,,Closed,"US resellers list Servi Plus at $13,990 to buy, with financing from about $293/month and full-service RaaS leases from roughly $599/month (36-month) to $1,199/month (12-month) including installation, mapping and support. Bear Robotics primarily pushes the subscription model. A 28-day demo subscription is offered for a small installation fee."
orionstar-luckibot,LuckiBot,OrionStar Robotics,China,service,for-sale,8999,8999,2026-09,2021,132,39,,10,40,,1.2,,,,Closed,"US distributor listings price the base LuckiBot at $8,999, making it one of the cheapest branded delivery robots on the market. Upgraded variants are listed at $14,999 (LuckiBot Pro) and $16,999 (Pro Autodoor with sealed compartments). The manufacturer sells via channel partners; volume pricing is quote-based."
gausium-scrubber-50-pro,Scrubber 50 Pro,Gausium (Gaussian Robotics),China,service,for-sale,39999,43000,2026-09,2021,107,157,,3,30,,1.2,,,,Closed,"US distributor listings range from $39,999 (discounted from a $51,600 list price) to about $43,000, typically including on-site installation. RaaS deployment is offered at around $1,795/month covering hardware, training and support. Press reports cite $20,000-35,000 for base non-Pro configurations sourced outside the US channel."
richtech-adam,ADAM,Richtech Robotics,USA,service,for-sale,180000,180000,2026-09,2022,,,12,,,,,,,,Closed,"US reseller listings price the dual-arm ADAM beverage robot at $180,000, with event rentals from $15,000 per day. A disclosed 60-month lease of 25 units for $5.25M implies roughly $3,500 per unit per month on long-term contracts, and earlier press reports cited $50,000-70,000 for simpler configurations. Most deployments are structured as leases or revenue-share rather than outright purchase."
agibot-x1,AgiBot X1,Agibot (Zhiyuan Robotics),China,humanoid,for-sale,19499,,2026-09,2024,130,33,34,2,0.5,,1,,,,"Fully open-source: hardware CAD, PowerFlow actuator designs, firmware and a Linux/ROS 2 stack with the AimRT framework, all published on GitHub","AgiBot does not list an official price on its own channels; distributor listings for the X1 developer kit start around $19,499 for research labs. Because the full hardware design is open-sourced, labs can also self-build from the published files at component cost. Treat the figure as a distributor offer rather than a manufacturer list price."
fourier-n1,Fourier N1,Fourier Intelligence,China,humanoid,for-sale,16000,40000,2026-09,2025,130,38,23,2,,,3.5,,,,"Fully open-source: complete hardware blueprints, published BOM, CAD, assembly instructions and base control software on GitHub (FSA 2.0 actuators)","Fourier has not published an official list price for the N1; distributor listings range from roughly $16,000 for kit configurations to about $40,000 for complete platforms. The full hardware design, BOM, CAD files and assembly instructions are published, so developers can source parts and build independently. Figures are distributor offers, not a manufacturer list price."
kscale-k-bot,K-Bot,K-Scale Labs,USA,humanoid,not-for-sale,8999,8999,2026-09,2025,140,35,,,,,,,,,"Fully open-source: mechanical CAD, Rust-based K-OS operating system and sim-to-real ML stack on GitHub; entire IP open-sourced after the company wound down","K-Scale published a headline price of $8,999 for the first 100 units and took $100 preorders through the manufacturer store. The company shut down in November 2025 after failing to raise funding, cancelled preorders and refunded deposits, so the robot can no longer be purchased. All hardware and software IP was released under open-source licenses on the way out."
berkeley-humanoid-lite,Berkeley Humanoid Lite,UC Berkeley (Hybrid Robotics),USA,humanoid,not-for-sale,,,2026-09,2025,85,16,22,0.5,,,,,,,"Fully open-source: 3D-printable hardware design, published BOM, embedded code and RL training/deployment framework on GitHub","Not a commercial product: this is a published open design intended for self-assembly, so no assembled units are sold. The published BOM totals under $5,000 at U.S. market prices, using widely available e-commerce components and desktop-3D-printed cycloidal gearboxes. Cost figure refers to the published BOM, not a sale price."
astribot-s1,Astribot S1,Astribot (Stardust Intelligence),China,humanoid,enterprise-only,50000,100000,2026-09,2024,170,90,23,,10,,,,,,Proprietary DuoCore dual-system AI architecture with imitation-learning pipeline; enterprise developer access via Astribot,"Astribot has not published an official list price for the S1. Distributor listings put research editions near $50,000-$70,000 (Chinese industry reports cite roughly RMB 500,000) and commercial units around $96,000-$99,000, while press reports estimate early commercial pricing up to roughly $100,000 or more. Commercial deliveries began in China in late 2025 with international rollout during 2026; treat the range as an estimate pending a formal offer."
limx-oli,LimX Oli (CL-3),LimX Dynamics,China,humanoid,for-sale,21800,,2026-09,2025,165,55,31,2,3,,1.39,,,,"Open Python SDK with modular hardware/software architecture; supports teleoperation, imitation learning and onboard-LLM autonomy (NVIDIA Orin on EDU trims)","Officially launched in August 2025 with base pricing from RMB 158,000 (about $21,800) per manufacturer announcement and press reports. Higher trims (EDU and above) with onboard NVIDIA Orin compute cost more; final configuration pricing comes via quotation, and current reseller terms require a full deposit before order confirmation. One of the few full-size humanoids with a published entry price."
magicbot-z1,MagicBot Z1,MagicLab,China,humanoid,enterprise-only,52800,,2026-09,2025,140,40,24,,,,2.5,,,,"Developer platform for research and education with secondary-development support; optional 11-DOF dexterous hands, 3D LiDAR and voice interaction","MagicLab operates a contact-sales model and has not published official pricing for the Z1. Distributor listings quote the compact research/education model from about $52,800. Its full-size sibling MagicBot G1 appears in distributor listings near $119,800; treat all figures as reseller offers rather than manufacturer list prices."
tiangong-walker,TianGong Walker (Tien Kung),Beijing X-Humanoid,China,humanoid,for-sale,41000,43000,2026-09,2025,170,,20,,,,2.78,,,,Open platform: published URDF/design assets and engineering docs (Tien Kung Open Source) plus the Huisi Kaiwu embodied-AI software platform,"The TianGong Walker consumer/research edition opened for preorders in 2025 at RMB 299,000, roughly $41,000-43,000 depending on exchange rate. The underlying Tien Kung platform is state-backed and open: robot description assets and engineering documentation are published for research and secondary development. Enterprise configurations are quoted separately."
engineai-se01,EngineAI SE01,EngineAI Robotics,China,humanoid,for-sale,20500,54000,2026-09,2024,170,55,32,2,,,,,,,"Developer SDK with commercial and education editions; end-to-end neural motion control (RL + imitation learning), 360-degree LiDAR and depth cameras","EngineAI executives indicated a target price of RMB 150,000-200,000 (about $20,500-27,400) when global sales opened in late 2024. Distributor listings for export configurations quote substantially higher, up to roughly $54,000. The spread reflects commercial vs education editions and regional markups."
sanctuary-phoenix,Phoenix (Gen 8),Sanctuary AI,Canada,humanoid,enterprise-only,,,2026-09,2023,170,70,,,25,,1.34,,,,Proprietary Carbon AI cognitive control system (natural-language-to-action with auditable reasoning); no public SDK — hydraulic hands with 21 DOF and near-human tactile sensing,"Sanctuary AI has never published a price for Phoenix and does not sell the humanoid outright; the robot has been deployed through enterprise pilot programs in manufacturing settings. In mid-2026 Sanctuary shifted its commercial focus toward licensing its ""Physical AI"" software for other companies' industrial robot hardware, while Phoenix's hydraulic hands remain in development. Press reports place comparable research-grade humanoids in the six-figure range, but no official figure exists for Phoenix."
neura-4ne-1,4NE-1 (Gen 3.5),Neura Robotics,Germany,humanoid,preorder,65000,105000,2026-09,2026,180,80,45,,,,,,,,"Neuraverse fleet-learning OS and app ecosystem; NVIDIA Thor compute with Isaac GR00T integration, modular exchangeable forearms and hands","Neura announced transparent pricing at CES 2026: the industrial 4NE1 Gen 3.5 lists at EUR 98,000 (about $105,000), dropping to around EUR 60,000 (about $65,000) at fleet scale. A smaller 4NE1 Mini is offered at EUR 19,999 for home and research use. Gen 3.5 deliveries are slated for late 2026, so current orders are preorders."
pudu-d9,Pudu D9,Pudu Robotics,China,humanoid,enterprise-only,,,2026-09,2024,170,65,42,8,20,,2,,,,"Proprietary stack with 275 TOPS onboard compute, real-time 3D semantic mapping and DH11 11-DOF tactile dexterous hands; developer access via Pudu","Pudu does not publicly disclose D9 pricing; units are quoted individually through the manufacturer and distributor listings on a request basis. No credible published figures exist, so the price is listed as unavailable rather than estimated."
unitree-go2-w,Go2-W,Unitree Robotics,China,quadruped,for-sale,13000,32299,2026-09,2024,50,18,12,2,8,,2.5,,,,Unitree SDK2 / ROS 2,"The wheeled Go2-W is not sold on Unitree's consumer store; pricing comes from US resellers and distributor listings. Base configurations start around $13,000-14,625, while Smart/Ultimate/enterprise-tier builds run higher, up to about $32,299 for the top bundled Inspection Package (thermal imaging, stabilized gimbal, compute dock). Distributor pricing tiers have shifted through 2026 as enterprise configurations were reorganized."
unitree-b2-w,B2-W,Unitree Robotics,China,quadruped,for-sale,88900,100000,2026-09,2024,76,75,12,5,40,,6,,,IP67,Unitree SDK2 / ROS 2,"Unitree's own store lists the industrial B2-W at $100,000 (marked ""contact sales"" for a final quote), matching the high end of US reseller pricing; sale-priced US listings start around $88,900 depending on sensor and compute configuration. European distributor listings start lower, from about EUR 58,800 before options."
deep-robotics-x20,Jueying X20,Deep Robotics (Jueying),China,quadruped,enterprise-only,20000,,2026-09,2021,70,53,12,3,20,,4,,,IP66,"Deep Robotics SDK, ROS support","The X20 has been superseded by the X30 (roughly $65,000-75,000 at US distributor listings) and is labeled discontinued on the US site, though it remains on the global catalog. Press price guides cite roughly $20,000 for remaining X20 units; original enterprise deployments were quoted higher depending on LiDAR, thermal and 5G options. Treat this as an estimate - the manufacturer sells by quotation only."
deep-robotics-lynx-m20,Lynx M20,Deep Robotics (Jueying),China,quadruped,for-sale,59995,61200,2026-09,2025,,33,,3,15,,5,,,IP66,"Deep Robotics SDK, ROS support","US distributor listings price the wheel-legged Lynx M20S at $59,995 and the M20 Pro (dual 96-line LiDAR, autonomous charging) at about $61,200 - a figure also confirmed directly on Deep Robotics' own US shop. These are offer prices for standard configurations; payload accessories and gimbals are extra. The M20 won a CES 2026 Innovation Award."
deep-robotics-lynx-s10,Lynx S10,Deep Robotics (Jueying),China,quadruped,preorder,,,2026-09,2026,,19,16,3,8,,5,,,IP66,"Deep Robotics SDK, ROS support","No public price. Deep Robotics has not listed the S10 on its own site, and its Japan distributor quotes it by inquiry only. A product-launch report described pricing ""in the tens of thousands of yuan"" (well below the Lynx M20's ~$60,000 US distributor price), but this figure is unverified by any distributor or manufacturer quote, so treat any number as a guess until a firm quote surfaces."
